Level,Ionization_Mode,DTXSID,Preferred_Name,MS_READY_DTXCID,MS_READY_FORMULA,MS_READY_MONOISOTOPIC_MASS,MS_READY_SMILES,mean_RT,Observed_Isomer,Isomer_Number,Isomer_Order,Spike_Conc,mean_Intensity,std_Intensity,SMILES,Molar_Conc,Intensity,Response_Factor,Log_Pred_Ionization_Eff,Log_Pred_Response_Factor,Predicted_Conc,Predicted_Conc_uM
High,Esi+,DTXSID6032431,S-Metolachlor,DTXCID402448,C15H22ClNO2,283.1339067,CCC1=C(N(C(C)COC)C(=O)CCl)C(C)=CC=C1,8.96,0,,,0.49,44083168,,CCC1=C(N(C(C)COC)C(=O)CCl)C(C)=CC=C1,,44083168,,3.537812197,13.84875544,6.24478E-07,0.624478307
Mid,Esi+,DTXSID4022448,Metolachlor,DTXCID402448,C15H22ClNO2,283.1339067,CCC1=C(N(C(C)COC)C(=O)CCl)C(C)=CC=C1,9.01,0,,,0.244,35135112,,CCC1=C(N(C(C)COC)C(=O)CCl)C(C)=CC=C1,,35135112,,3.537812197,13.84875544,4.97721E-07,0.497720928
Mid,Esi+,DTXSID6032431,S-Metolachlor,DTXCID402448,C15H22ClNO2,283.1339067,CCC1=C(N(C(C)COC)C(=O)CCl)C(C)=CC=C1,8.96,0,,,0.122,13560905,,CCC1=C(N(C(C)COC)C(=O)CCl)C(C)=CC=C1,,13560905,,3.537812197,13.84875544,1.92103E-07,0.192102596
Low,Esi+,DTXSID4022448,Metolachlor,DTXCID402448,C15H22ClNO2,283.1339067,CCC1=C(N(C(C)COC)C(=O)CCl)C(C)=CC=C1,9.01,0,,,0.061,7514602,,CCC1=C(N(C(C)COC)C(=O)CCl)C(C)=CC=C1,,7514602,,3.537812197,13.84875544,1.06451E-07,0.106451196
Low,Esi+,DTXSID6032431,S-Metolachlor,DTXCID402448,C15H22ClNO2,283.1339067,CCC1=C(N(C(C)COC)C(=O)CCl)C(C)=CC=C1,8.96,0,,,0.024,2625578,,CCC1=C(N(C(C)COC)C(=O)CCl)C(C)=CC=C1,,2625578,,3.537812197,13.84875544,3.71937E-08,0.037193709
High,Esi+,DTXSID2047357,Surinabant,DTXCID0027357,C23H23BrCl2N4O,520.04323,CCC1=C(N(N=C1C(=O)NN1CCCCC1)C1=CC=C(Cl)C=C1Cl)C1=CC=C(Br)C=C1,13.39,0,,,0.49,115291544,,CCC1=C(N(N=C1C(=O)NN1CCCCC1)C1=CC=C(Cl)C=C1Cl)C1=CC=C(Br)C=C1,,115291544,,3.279028323,13.7470308,2.06427E-06,2.064270739
Mid,Esi+,DTXSID2047357,Surinabant,DTXCID0027357,C23H23BrCl2N4O,520.04323,CCC1=C(N(N=C1C(=O)NN1CCCCC1)C1=CC=C(Cl)C=C1Cl)C1=CC=C(Br)C=C1,13.39,0,,,0.122,36616004,,CCC1=C(N(N=C1C(=O)NN1CCCCC1)C1=CC=C(Cl)C=C1Cl)C1=CC=C(Br)C=C1,,36616004,,3.279028323,13.7470308,6.55602E-07,0.655601816
Low,Esi+,DTXSID2047357,Surinabant,DTXCID0027357,C23H23BrCl2N4O,520.04323,CCC1=C(N(N=C1C(=O)NN1CCCCC1)C1=CC=C(Cl)C=C1Cl)C1=CC=C(Br)C=C1,13.39,0,,,0.024,6115472,,CCC1=C(N(N=C1C(=O)NN1CCCCC1)C1=CC=C(Cl)C=C1Cl)C1=CC=C(Br)C=C1,,6115472,,3.279028323,13.7470308,1.09496E-07,0.109496234
High,Esi+,DTXSID4048191,"4,4'-Methylenebis(2,6-diethylaniline)",DTXCID5028166,C21H30N2,310.240899,CCC1=CC(CC2=CC(CC)=C(N)C(CC)=C2)=CC(CC)=C1N,10.89,0,,,0.49,31715788,,CCC1=CC(CC2=CC(CC)=C(N)C(CC)=C2)=CC(CC)=C1N,,31715788,,3.606017233,13.87556597,4.22386E-07,0.42238602
Mid,Esi+,DTXSID4048191,"4,4'-Methylenebis(2,6-diethylaniline)",DTXCID5028166,C21H30N2,310.240899,CCC1=CC(CC2=CC(CC)=C(N)C(CC)=C2)=CC(CC)=C1N,10.89,0,,,0.122,9398227,,CCC1=CC(CC2=CC(CC)=C(N)C(CC)=C2)=CC(CC)=C1N,,9398227,,3.606017233,13.87556597,1.25164E-07,0.125164152
Low,Esi+,DTXSID4048191,"4,4'-Methylenebis(2,6-diethylaniline)",DTXCID5028166,C21H30N2,310.240899,CCC1=CC(CC2=CC(CC)=C(N)C(CC)=C2)=CC(CC)=C1N,10.89,0,,,0.024,1176639,,CCC1=CC(CC2=CC(CC)=C(N)C(CC)=C2)=CC(CC)=C1N,,1176639,,3.606017233,13.87556597,1.56703E-08,0.015670298
High,Esi+,DTXSID4034948,Tebufenozide,DTXCID2014948,C22H28N2O2,352.2150782,CCC1=CC=C(C=C1)C(=O)NN(C(=O)C1=CC(C)=CC(C)=C1)C(C)(C)C,9.88,0,,,0.49,15030379,,CCC1=CC=C(C=C1)C(=O)NN(C(=O)C1=CC(C)=CC(C)=C1)C(C)(C)C,,15030379,,2.399757418,13.40140062,5.96444E-07,0.596443508
Mid,Esi+,DTXSID4034948,Tebufenozide,DTXCID2014948,C22H28N2O2,352.2150782,CCC1=CC=C(C=C1)C(=O)NN(C(=O)C1=CC(C)=CC(C)=C1)C(C)(C)C,9.88,0,,,0.122,4612555,,CCC1=CC=C(C=C1)C(=O)NN(C(=O)C1=CC(C)=CC(C)=C1)C(C)(C)C,,4612555,,2.399757418,13.40140062,1.83038E-07,0.183037865
Low,Esi+,DTXSID4034948,Tebufenozide,DTXCID2014948,C22H28N2O2,352.2150782,CCC1=CC=C(C=C1)C(=O)NN(C(=O)C1=CC(C)=CC(C)=C1)C(C)(C)C,9.88,0,,,0.024,913831,,CCC1=CC=C(C=C1)C(=O)NN(C(=O)C1=CC(C)=CC(C)=C1)C(C)(C)C,,913831,,2.399757418,13.40140062,3.62631E-08,0.036263129
High,Esi+,DTXSID3044203,Pioglitazone hydrochloride,DTXCID1017129,C19H20N2O3S,356.1194637,CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1,8,0,,,0.49,41517525,2913979,CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1,,41517525,,2.986592604,13.63207805,9.6862E-07,0.968619951
Mid,Esi+,DTXSID3044203,Pioglitazone hydrochloride,DTXCID1017129,C19H20N2O3S,356.1194637,CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1,8,0,,,0.122,13351260,3078993,CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1,,13351260,,2.986592604,13.63207805,3.1149E-07,0.311490071
Low,Esi+,DTXSID3044203,Pioglitazone hydrochloride,DTXCID1017129,C19H20N2O3S,356.1194637,CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1,8,0,,,0.024,2496511,405830,CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1,,2496511,,2.986592604,13.63207805,5.82446E-08,0.058244569
High,Esi+,DTXSID9021217,Pyrimethamine,DTXCID601217,C12H13ClN4,248.0828741,CCC1=NC(N)=NC(N)=C1C1=CC=C(Cl)C=C1,4.42,0,,,0.49,13964980,,CCC1=NC(N)=NC(N)=C1C1=CC=C(Cl)C=C1,,13964980,,3.40360073,13.79599862,2.23379E-07,0.223378667
Mid,Esi+,DTXSID9021217,Pyrimethamine,DTXCID601217,C12H13ClN4,248.0828741,CCC1=NC(N)=NC(N)=C1C1=CC=C(Cl)C=C1,4.42,0,,,0.122,4554488,,CCC1=NC(N)=NC(N)=C1C1=CC=C(Cl)C=C1,,4554488,,3.40360073,13.79599862,7.28519E-08,0.072851909
Low,Esi+,DTXSID9021217,Pyrimethamine,DTXCID601217,C12H13ClN4,248.0828741,CCC1=NC(N)=NC(N)=C1C1=CC=C(Cl)C=C1,4.42,0,,,0.024,945867,,CCC1=NC(N)=NC(N)=C1C1=CC=C(Cl)C=C1,,945867,,3.40360073,13.79599862,1.51297E-08,0.015129739
High,Esi+,DTXSID0020577,Ethionamide,DTXCID00577,C8H10N2S,166.0564695,CCC1=NC=CC(=C1)C(N)=S,1.8,0,,,0.49,14123976,1773378,CCC1=NC=CC(=C1)C(N)=S,0.00000049,14123976,2.88244E+13,2.571409081,13.4688747,4.79824E-07,0.479824341
Mid,Esi+,DTXSID0020577,Ethionamide,DTXCID00577,C8H10N2S,166.0564695,CCC1=NC=CC(=C1)C(N)=S,1.8,0,,,0.122,4338620,172828,CCC1=NC=CC(=C1)C(N)=S,0.000000122,4338620,3.55625E+13,2.571409081,13.4688747,1.47393E-07,0.14739302
Low,Esi+,DTXSID0020577,Ethionamide,DTXCID00577,C8H10N2S,166.0564695,CCC1=NC=CC(=C1)C(N)=S,1.8,0,,,0.024,937058,130306,CCC1=NC=CC(=C1)C(N)=S,0.000000024,937058,3.90441E+13,2.571409081,13.4688747,3.1834E-08,0.031834041
High,Esi+,DTXSID0034223,Tebufenpyrad,DTXCID8014223,C18H24ClN3O,333.1607901,CCC1=NN(C)C(C(=O)NCC2=CC=C(C=C2)C(C)(C)C)=C1Cl,11.62,0,,,0.49,85110192,,CCC1=NN(C)C(C(=O)NCC2=CC=C(C=C2)C(C)(C)C)=C1Cl,0.00000049,85110192,1.73694E+14,2.599283253,13.47983168,2.81936E-06,2.819355836
Mid,Esi+,DTXSID0034223,Tebufenpyrad,DTXCID8014223,C18H24ClN3O,333.1607901,CCC1=NN(C)C(C(=O)NCC2=CC=C(C=C2)C(C)(C)C)=C1Cl,11.62,0,,,0.122,30183712,,CCC1=NN(C)C(C(=O)NCC2=CC=C(C=C2)C(C)(C)C)=C1Cl,0.000000122,30183712,2.47407E+14,2.599283253,13.47983168,9.99864E-07,0.999864089
Low,Esi+,DTXSID0034223,Tebufenpyrad,DTXCID8014223,C18H24ClN3O,333.1607901,CCC1=NN(C)C(C(=O)NCC2=CC=C(C=C2)C(C)(C)C)=C1Cl,11.62,0,,,0.024,6980727,,CCC1=NN(C)C(C(=O)NCC2=CC=C(C=C2)C(C)(C)C)=C1Cl,0.000000024,6980727,2.90864E+14,2.599283253,13.47983168,2.31243E-07,0.231243203
High,Esi+,DTXSID9047253,CP-401387,DTXCID10210198,C23H29N3O2,379.2259772,CCC1=NN(C2CCCCC2)C2=CC(=CC=C12)C1(CCC(CC1)C(O)=O)C#N,8.42,0,,,0.245,6889208,,CCC1=NN(C2CCCCC2)C2=CC(=CC=C12)C1(CCC(CC1)C(O)=O)C#N,,6889208,,3.437653829,13.80938446,1.06853E-07,0.106852536
Mid,Esi+,DTXSID9047253,CP-401387,DTXCID10210198,C23H29N3O2,379.2259772,CCC1=NN(C2CCCCC2)C2=CC(=CC=C12)C1(CCC(CC1)C(O)=O)C#N,8.42,0,,,0.061,2929348,,CCC1=NN(C2CCCCC2)C2=CC(=CC=C12)C1(CCC(CC1)C(O)=O)C#N,,2929348,,3.437653829,13.80938446,4.54346E-08,0.045434579
Low,Esi+,DTXSID9047253,CP-401387,DTXCID10210198,C23H29N3O2,379.2259772,CCC1=NN(C2CCCCC2)C2=CC(=CC=C12)C1(CCC(CC1)C(O)=O)C#N,8.42,0,,,0.012,575939,,CCC1=NN(C2CCCCC2)C2=CC(=CC=C12)C1(CCC(CC1)C(O)=O)C#N,,575939,,3.437653829,13.80938446,8.93289E-09,0.008932891
High,Esi+,DTXSID7047279,CP-532623,DTXCID80210206,C27H27F9N2O3,598.1877962,CCC1CC(N(CC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C(C)=O)C2=C(C=CC(=C2)C(F)(F)F)N1C(=O)OC(C)C,13.59,0,,,0.49,10543627,,CCC1CC(N(CC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C(C)=O)C2=C(C=CC(=C2)C(F)(F)F)N1C(=O)OC(C)C,,10543627,,1.563419409,13.07264681,8.91956E-07,0.891955581
Mid,Esi+,DTXSID7047279,CP-532623,DTXCID80210206,C27H27F9N2O3,598.1877962,CCC1CC(N(CC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C(C)=O)C2=C(C=CC(=C2)C(F)(F)F)N1C(=O)OC(C)C,13.59,0,,,0.122,3217372,,CCC1CC(N(CC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C(C)=O)C2=C(C=CC(=C2)C(F)(F)F)N1C(=O)OC(C)C,,3217372,,1.563419409,13.07264681,2.72179E-07,0.272178911
Low,Esi+,DTXSID7047279,CP-532623,DTXCID80210206,C27H27F9N2O3,598.1877962,CCC1CC(N(CC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C(C)=O)C2=C(C=CC(=C2)C(F)(F)F)N1C(=O)OC(C)C,13.59,0,,,0.024,561843,,CCC1CC(N(CC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C(C)=O)C2=C(C=CC(=C2)C(F)(F)F)N1C(=O)OC(C)C,,561843,,1.563419409,13.07264681,4.753E-08,0.047530039
High,Esi+,DTXSID1047283,CP-728663,DTXCID00210208,C26H33N3O2,419.2572773,CCC1CCC(NCC2=CC3=C(C=C2OC)C2CC2C(=O)N3C)C(N1)C1=CC=CC=C1,4.99,0,,,0.49,24846676,,CCC1CCC(NCC2=CC3=C(C=C2OC)C2CC2C(=O)N3C)C(N1)C1=CC=CC=C1,0.00000049,24846676,5.07075E+13,4.196966276,14.10786051,1.93824E-07,0.193824107
Mid,Esi+,DTXSID1047283,CP-728663,DTXCID00210208,C26H33N3O2,419.2572773,CCC1CCC(NCC2=CC3=C(C=C2OC)C2CC2C(=O)N3C)C(N1)C1=CC=CC=C1,4.99,0,,,0.122,7189627,,CCC1CCC(NCC2=CC3=C(C=C2OC)C2CC2C(=O)N3C)C(N1)C1=CC=CC=C1,0.000000122,7189627,5.89314E+13,4.196966276,14.10786051,5.60849E-08,0.056084888
Low,Esi+,DTXSID1047283,CP-728663,DTXCID00210208,C26H33N3O2,419.2572773,CCC1CCC(NCC2=CC3=C(C=C2OC)C2CC2C(=O)N3C)C(N1)C1=CC=CC=C1,4.99,0,,,0.024,979321,,CCC1CCC(NCC2=CC3=C(C=C2OC)C2CC2C(=O)N3C)C(N1)C1=CC=CC=C1,0.000000024,979321,4.0805E+13,4.196966276,14.10786051,7.63949E-09,0.007639493
High,Esi+,DTXSID8041117,Roxithromycin,DTXCID90810337,C41H76N2O15,836.5245698,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C(=NOCOCCOC)C(C)C(O)C1(C)O,9.13,0,,,0.294,53634107,10868069,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C(=NOCOCCOC)C(C)C(O)C1(C)O,,53634107,,3.592290284,13.87017008,7.23221E-07,0.723220907
Mid,Esi+,DTXSID8041117,Roxithromycin,DTXCID90810337,C41H76N2O15,836.5245698,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C(=NOCOCCOC)C(C)C(O)C1(C)O,9.13,0,,,0.0732,14398725,3452066,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C(=NOCOCCOC)C(C)C(O)C1(C)O,,14398725,,3.592290284,13.87017008,1.94157E-07,0.194157403
Low,Esi+,DTXSID8041117,Roxithromycin,DTXCID90810337,C41H76N2O15,836.5245698,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C(=NOCOCCOC)C(C)C(O)C1(C)O,9.13,0,,,0.0144,2794048,670993,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C(=NOCOCCOC)C(C)C(O)C1(C)O,,2794048,,3.592290284,13.87017008,3.76759E-08,0.037675913
High,Esi+,DTXSID8042260,Penconazole,DTXCID6022260,C13H15Cl2N3,283.0643029,CCCC(CN1C=NC=N1)C1=C(Cl)C=C(Cl)C=C1,9.65,0,,,0.49,31395503,13510758,CCCC(CN1C=NC=N1)C1=C(Cl)C=C(Cl)C=C1,,31395503,,2.726246516,13.52973932,9.27103E-07,0.927103302
Mid,Esi+,DTXSID8042260,Penconazole,DTXCID6022260,C13H15Cl2N3,283.0643029,CCCC(CN1C=NC=N1)C1=C(Cl)C=C(Cl)C=C1,9.65,0,,,0.122,11120053,1190651,CCCC(CN1C=NC=N1)C1=C(Cl)C=C(Cl)C=C1,,11120053,,2.726246516,13.52973932,3.28373E-07,0.328373075
Low,Esi+,DTXSID8042260,Penconazole,DTXCID6022260,C13H15Cl2N3,283.0643029,CCCC(CN1C=NC=N1)C1=C(Cl)C=C(Cl)C=C1,9.65,0,,,0.024,2364008,436085,CCCC(CN1C=NC=N1)C1=C(Cl)C=C(Cl)C=C1,,2364008,,2.726246516,13.52973932,6.98087E-08,0.069808712
High,Esi+,DTXSID7020344,Tomelukast,DTXCID30344,C16H22N4O3,318.1691906,CCCC1=C(OCCCCC2=NN=NN2)C=CC(C(C)=O)=C1O,7.05,0,,,0.49,4561210,1302346,CCCC1=C(OCCCCC2=NN=NN2)C=CC(C(C)=O)=C1O,,4561210,,3.255252496,13.73768482,8.3444E-08,0.083444025
Mid,Esi+,DTXSID7020344,Tomelukast,DTXCID30344,C16H22N4O3,318.1691906,CCCC1=C(OCCCCC2=NN=NN2)C=CC(C(C)=O)=C1O,7.05,0,,,0.122,1884939,257902,CCCC1=C(OCCCCC2=NN=NN2)C=CC(C(C)=O)=C1O,,1884939,,3.255252496,13.73768482,3.44836E-08,0.03448359
Low,Esi+,DTXSID7020344,Tomelukast,DTXCID30344,C16H22N4O3,318.1691906,CCCC1=C(OCCCCC2=NN=NN2)C=CC(C(C)=O)=C1O,7.05,0,,,0.024,457987,94655,CCCC1=C(OCCCCC2=NN=NN2)C=CC(C(C)=O)=C1O,,457987,,3.255252496,13.73768482,8.37854E-09,0.00837854
High,Esi+,DTXSID6040745,4-[3-(4-Acetyl-3-hydroxy-2-propylphenoxy)propoxy]phenoxy-acetic acid,DTXCID4020745,C22H26O7,402.1678532,CCCC1=C(OCCCOC2=CC=C(OCC(O)=O)C=C2)C=CC(C(C)=O)=C1O,8.22,0,,,0.49,1946537,,CCCC1=C(OCCCOC2=CC=C(OCC(O)=O)C=C2)C=CC(C(C)=O)=C1O,,1946537,,3.590349966,13.86940737,2.62939E-08,0.026293917
Mid,Esi+,DTXSID6040745,4-[3-(4-Acetyl-3-hydroxy-2-propylphenoxy)propoxy]phenoxy-acetic acid,DTXCID4020745,C22H26O7,402.1678532,CCCC1=C(OCCCOC2=CC=C(OCC(O)=O)C=C2)C=CC(C(C)=O)=C1O,8.22,0,,,0.122,749660,,CCCC1=C(OCCCOC2=CC=C(OCC(O)=O)C=C2)C=CC(C(C)=O)=C1O,,749660,,3.590349966,13.86940737,1.01264E-08,0.010126444
Low,Esi+,DTXSID6040745,4-[3-(4-Acetyl-3-hydroxy-2-propylphenoxy)propoxy]phenoxy-acetic acid,DTXCID4020745,C22H26O7,402.1678532,CCCC1=C(OCCCOC2=CC=C(OCC(O)=O)C=C2)C=CC(C(C)=O)=C1O,8.22,0,,,0.024,,,CCCC1=C(OCCCOC2=CC=C(OCC(O)=O)C=C2)C=CC(C(C)=O)=C1O,,,,3.590349966,13.86940737,,
High,Esi+,DTXSID8024280,Propiconazole,DTXCID204280,C15H17Cl2N3O2,341.0697822,CCCC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(Cl)C=C1,9.78,1,1,First,0.49,38703496,,CCCC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(Cl)C=C1,,38703496,,3.162915683,13.7013884,7.69771E-07,0.769771442
High,Esi+,DTXSID8024280,Propiconazole,DTXCID204280,C15H17Cl2N3O2,341.0697822,CCCC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(Cl)C=C1,9.93,1,2,Second,0.49,11440555,,CCCC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(Cl)C=C1,,11440555,,3.162915683,13.7013884,2.2754E-07,0.227540492
Mid,Esi+,DTXSID8024280,Propiconazole,DTXCID204280,C15H17Cl2N3O2,341.0697822,CCCC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(Cl)C=C1,9.78,1,1,First,0.122,9092215,,CCCC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(Cl)C=C1,,9092215,,3.162915683,13.7013884,1.80835E-07,0.180834503
Mid,Esi+,DTXSID8024280,Propiconazole,DTXCID204280,C15H17Cl2N3O2,341.0697822,CCCC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(Cl)C=C1,9.93,1,2,Second,0.122,4137949,,CCCC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(Cl)C=C1,,4137949,,3.162915683,13.7013884,8.22994E-08,0.082299412
Low,Esi+,DTXSID8024280,Propiconazole,DTXCID204280,C15H17Cl2N3O2,341.0697822,CCCC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(Cl)C=C1,9.78,1,1,First,0.024,1992623,,CCCC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(Cl)C=C1,,1992623,,3.162915683,13.7013884,3.96312E-08,0.039631156
Low,Esi+,DTXSID8024280,Propiconazole,DTXCID204280,C15H17Cl2N3O2,341.0697822,CCCC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(Cl)C=C1,9.93,1,2,Second,0.024,850043,,CCCC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(Cl)C=C1,,850043,,3.162915683,13.7013884,1.69065E-08,0.016906453
High,Esi+,DTXSID8020202,Budesonide,DTXCID80209019,C25H34O6,430.2355388,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO,8.98,0,,,0.49,15267069,,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO,,15267069,,3.461730803,13.81884881,2.3169E-07,0.231689768
Mid,Esi+,DTXSID8020202,Budesonide,DTXCID80209019,C25H34O6,430.2355388,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO,8.98,0,,,0.122,6627859,,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO,,6627859,,3.461730803,13.81884881,1.00583E-07,0.100582968
Low,Esi+,DTXSID8020202,Budesonide,DTXCID80209019,C25H34O6,430.2355388,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO,8.98,0,,,0.024,1516343,,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO,,1516343,,3.461730803,13.81884881,2.30117E-08,0.023011696
High,Esi+,DTXSID7029320,2-Ethylhexyl 4-(dimethylamino)benzoate,DTXCID109320,C17H27NO2,277.2041791,CCCCC(CC)COC(=O)C1=CC=C(C=C1)N(C)C,13.34,0,,,0.732,66152496,,CCCCC(CC)COC(=O)C1=CC=C(C=C1)N(C)C,,66152496,,3.638967723,13.88851839,8.55122E-07,0.855121542
Mid,Esi+,DTXSID7029320,2-Ethylhexyl 4-(dimethylamino)benzoate,DTXCID109320,C17H27NO2,277.2041791,CCCCC(CC)COC(=O)C1=CC=C(C=C1)N(C)C,13.34,0,,,0.244,25240356,,CCCCC(CC)COC(=O)C1=CC=C(C=C1)N(C)C,,25240356,,3.638967723,13.88851839,3.2627E-07,0.326269959
Low,Esi+,DTXSID7029320,2-Ethylhexyl 4-(dimethylamino)benzoate,DTXCID109320,C17H27NO2,277.2041791,CCCCC(CC)COC(=O)C1=CC=C(C=C1)N(C)C,13.34,0,,,0.061,5413404,,CCCCC(CC)COC(=O)C1=CC=C(C=C1)N(C)C,,5413404,,3.638967723,13.88851839,6.99765E-08,0.069976473
High,Esi+,DTXSID2025680,MEHP,DTXCID105680,C16H22O4,278.1518092,CCCCC(CC)COC(=O)C1=CC=CC=C1C(O)=O,7.89,0,,,0.49,3104417,,CCCCC(CC)COC(=O)C1=CC=CC=C1C(O)=O,0.00000049,3104417,6.33554E+12,3.343262952,13.77228061,5.24444E-08,0.052444439
Mid,Esi+,DTXSID2025680,MEHP,DTXCID105680,C16H22O4,278.1518092,CCCCC(CC)COC(=O)C1=CC=CC=C1C(O)=O,7.89,0,,,0.122,1699122,,CCCCC(CC)COC(=O)C1=CC=CC=C1C(O)=O,0.000000122,1699122,1.39272E+13,3.343262952,13.77228061,2.87041E-08,0.028704101
Low,Esi+,DTXSID2025680,MEHP,DTXCID105680,C16H22O4,278.1518092,CCCCC(CC)COC(=O)C1=CC=CC=C1C(O)=O,7.89,0,,,0.024,440121,,CCCCC(CC)COC(=O)C1=CC=CC=C1C(O)=O,0.000000024,440121,1.83384E+13,3.343262952,13.77228061,7.43518E-09,0.00743518
High,Esi+,DTXSID1025300,2-Ethylhexyl diphenyl phosphate,DTXCID105300,C20H27O4P,362.1646963,CCCCC(CC)COP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1,13.24,0,,,0.49,30945886,,CCCCC(CC)COP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1,0.00000049,30945886,6.31549E+13,3.56070478,13.85775422,4.29387E-07,0.429386809
Mid,Esi+,DTXSID1025300,2-Ethylhexyl diphenyl phosphate,DTXCID105300,C20H27O4P,362.1646963,CCCCC(CC)COP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1,13.24,0,,,0.122,9428396,,CCCCC(CC)COP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1,0.000000122,9428396,7.72819E+13,3.56070478,13.85775422,1.30823E-07,0.130822846
Low,Esi+,DTXSID1025300,2-Ethylhexyl diphenyl phosphate,DTXCID105300,C20H27O4P,362.1646963,CCCCC(CC)COP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1,13.24,0,,,0.024,1731517,,CCCCC(CC)COP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1,0.000000024,1731517,7.21465E+13,3.56070478,13.85775422,2.40255E-08,0.024025506
High,Esi+,DTXSID8024315,Myclobutanil,DTXCID304315,C15H17ClN4,288.1141743,CCCCC(CN1C=NC=N1)(C#N)C1=CC=C(Cl)C=C1,8.24,0,,,0.49,9949659,,CCCCC(CN1C=NC=N1)(C#N)C1=CC=C(Cl)C=C1,,9949659,,2.452145311,13.42199363,3.76543E-07,0.376542991
Mid,Esi+,DTXSID8024315,Myclobutanil,DTXCID304315,C15H17ClN4,288.1141743,CCCCC(CN1C=NC=N1)(C#N)C1=CC=C(Cl)C=C1,8.24,0,,,0.122,4613848,,CCCCC(CN1C=NC=N1)(C#N)C1=CC=C(Cl)C=C1,,4613848,,2.452145311,13.42199363,1.7461E-07,0.174610218
Low,Esi+,DTXSID8024315,Myclobutanil,DTXCID304315,C15H17ClN4,288.1141743,CCCCC(CN1C=NC=N1)(C#N)C1=CC=C(Cl)C=C1,8.24,0,,,0.024,1100529,,CCCCC(CN1C=NC=N1)(C#N)C1=CC=C(Cl)C=C1,,1100529,,2.452145311,13.42199363,4.16493E-08,0.041649315
