Ionization_Mode,DTXSID,Preferred_Name,MS_READY_DTXCID,MS_READY_FORMULA,MS_READY_MONOISOTOPIC_MASS,MS_READY_SMILES,mean_RT,Observed_Isomer,Isomer_Number,Isomer_Order,Corrected_HighConc,Corrected_MidConc,Corrected_LowConc,mean_High_Intensity,mean_Mid_Intensity,mean_Low_Intensity,std_High_Intensity,std_Mid_Intensity,std_Low_Intensity
Esi-,DTXSID3042394,Sodium 1-naphthalenesulfonate,DTXCID209777,C10H8O3S,208.0194153,OS(=O)(=O)C1=CC=CC2=C1C=CC=C2,0.92,0,,,,,,876470,425195,144725,,,
Esi-,DTXSID3044203,Pioglitazone hydrochloride,DTXCID1017129,C19H20N2O3S,356.1194637,CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1,7.98,0,,,,,,1096636,487446,293538,1191319,660021,
Esi-,DTXSID3044544,3-Hydroxy-N-(3-nitrophenyl)naphthalene-2-carboxamide,DTXCID1024544,C17H12N2O4,308.0797069,OC1=CC2=C(C=CC=C2)C=C1C(=O)NC1=CC=CC(=C1)[N+]([O-])=O,9.63,0,,,,,,33831563,8472941,1277518,,,
Esi-,DTXSID3044960,"Propane-1,3-diyl bis(4-aminobenzoate)",DTXCID1024960,C17H18N2O4,314.1266571,NC1=CC=C(C=C1)C(=O)OCCCOC(=O)C1=CC=C(N)C=C1,4.29,0,,,,,,253475,116458,,,,
Esi-,DTXSID3047263,PharmaGSID_47263,DTXCID1027263,C15H16N4O2,284.1273258,CCN1N=C(C)C2=C1C(=O)NCC(=N2)C1=CC=C(O)C=C1,3.62,0,,,,,,1146276,455539,105767,,,
Esi-,DTXSID3047265,CP-471358,DTXCID1027265,C21H23FN2O7S,466.1210004,ONC(=O)C1(CCCC1)N(CCC(O)=O)S(=O)(=O)C1=CC=C(OC2=CC=C(F)C=C2)C=C1,4.74,0,,,,,,406367,134756,,,,
Esi-,DTXSID3048520,Piragliatin,DTXCID10210279,C19H20ClN3O4S,421.086305,CS(=O)(=O)C1=CC=C(C=C1Cl)C(CC1CCC(=O)C1)C(=O)NC1=NC=CN=C1,3.51,0,,,,,,1305403,434236,83450,,,
Esi-,DTXSID4020290,Pirinixic acid,DTXCID00290,C14H14ClN3O2S,323.0495256,CC1=C(C)C(NC2=NC(SCC(O)=O)=NC(Cl)=C2)=CC=C1,6.06,0,,,,,,720742,254983,49141,,,
Esi-,DTXSID4020371,Dapsone,DTXCID00371,C12H12N2O2S,248.0619488,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,0.8,0,,,,,,37133,,,,,
Esi-,DTXSID4021559,"2,6-Di-tert-butyl-4-nitrophenol",DTXCID201559,C14H21NO3,251.1521435,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)[N+]([O-])=O,11.43,0,,,,,,25406150,6818890,1153064,,,
Esi-,DTXSID4022311,Formononetin,DTXCID502311,C16H12O4,268.0735589,COC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O,5.99,0,,,,,,13259370,4832956,872872,,,
Esi-,DTXSID4022527,Propylparaben,DTXCID602527,C10H12O3,180.0786442,CCCOC(=O)C1=CC=C(O)C=C1,5.63,0,,,,,,2499847,690732,113702,1954577,568760,108694
Esi-,DTXSID4024018,Dicamba,DTXCID904018,C8H6Cl2O3,219.9693995,COC1=C(Cl)C=CC(Cl)=C1C(O)=O,0.85,0,,,,,,464044,143268,31070,,,
Esi-,DTXSID4026181,Tribromsalan,DTXCID606181,C13H8Br3NO2,446.810518,OC1=C(Br)C=C(Br)C=C1C(=O)NC1=CC=C(Br)C=C1,8.48,0,,,,,,36493488,11766034,2116349,,,
Esi-,DTXSID4027604,2-[4-(Diethylamino)-2-hydroxybenzoyl]benzoic acid,DTXCID507604,C18H19NO4,313.1314081,CCN(CC)C1=CC(O)=C(C=C1)C(=O)C1=C(C=CC=C1)C(O)=O,5.53,0,,,,,,534350,154296,,,,
Esi-,DTXSID4032619,Halofenozide,DTXCID2012619,C18H19ClN2O2,330.1135056,CC(C)(C)N(NC(=O)C1=CC=C(Cl)C=C1)C(=O)C1=CC=CC=C1,7.79,0,,,,,,38475105,11186880,2190965,30913571,9630738,2081111
Esi-,DTXSID4034528,Diclosulam,DTXCID2014528,C13H10Cl2FN5O3S,404.9865439,CCOC1=NC(F)=CC2=NC(=NN12)S(=O)(=O)NC1=C(Cl)C=CC=C1Cl,3.66,0,,,,,,169664,52003,,,,
Esi-,DTXSID4034609,Fipronil,DTXCID2014609,C12H4Cl2F6N4OS,435.9387063,NC1=C(C(=NN1C1=C(Cl)C=C(C=C1Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F,9.63,0,,,,,,24290988,5725348,1099794,,,
Esi-,DTXSID4034948,Tebufenozide,DTXCID2014948,C22H28N2O2,352.2150782,CCC1=CC=C(C=C1)C(=O)NN(C(=O)C1=CC(C)=CC(C)=C1)C(C)(C)C,9.83,0,,,,,,1913572,519433,93073,,,
Esi-,DTXSID4041529,4'-Sulfamylacetanilide,DTXCID2021529,C8H10N2O3S,214.0412134,CC(=O)NC1=CC=C(C=C1)S(N)(=O)=O,0.52,0,,,,,,927881,280693,57033,,,
Esi-,DTXSID4041783,Chlorthiamid,DTXCID2021783,C7H5Cl2NS,204.9519757,NC(=S)C1=C(Cl)C=CC=C1Cl,2.03,0,,,,,,223409,72830,,,,
Esi-,DTXSID4044585,Dantrolene sodium,DTXCID602881,C14H10N4O5,314.0651194,[O-][N+](=O)C1=CC=C(C=C1)C1=CC=C(O1)C=NN1CC(=O)NC1=O,3.69,0,,,,,,1118756,390734,76895,,,
Esi-,DTXSID4047252,Ingliforib,DTXCID50210197,C23H24ClN3O5,457.1404486,OC(C(CC1=CC=CC=C1)NC(=O)C1=CC2=CC(Cl)=CC=C2N1)C(=O)N1CC(O)C(O)C1,7.67,0,,,,,,1204286,470226,274693,1306459,611844,
Esi-,DTXSID4047331,MK-547,DTXCID80197205,C31H33NO7,531.2257024,CCCCC1=CC=C2C(C(C(C2=N1)C1=CC=C(OC)C=C1CC(C)C(O)=O)C(O)=O)C1=CC2=C(OCO2)C=C1,8.7,0,,,,,,809517,248383,51907,,,
Esi-,DTXSID4047333,PharmaGSID_47333,DTXCID40210222,C22H30N4O2,382.2368762,Cc1ncc(cn1)C(CCCCCCc1ccc2CCCNc2n1)CC(O)=O,4.4,0,,,,,,621376,141856,,,,
Esi-,DTXSID4047383,AVE3247,DTXCID7027384,C25H24ClN5O4S,525.1237531,OC(=O)C1=CC=C2N(CC3=NOC(=C3)C3=CC=C(Cl)S3)C(=NC2=C1)C(=O)NC1CCN(CC1)C1CC1,6.56,0,,,,,,85762,,,,,
Esi-,DTXSID4047385,SAR377142,DTXCID7027386,C26H33ClN6O4,528.2251813,COCCOC1=NC=C2N(CC(=O)NC3=NC=C(Cl)C=C3)C(=CC2=C1)C(=O)NC1CCN(CC1)C(C)C,4.27,0,,,,,,437078,142869,,,,
Esi-,DTXSID4047387,SAR102779,DTXCID30197215,C31H32Cl2FN3O3,583.1804755,CC(=O)NC1(CCN(CCC2(CN(C(=O)CO2)C2=CC=CC=C2)C2=CC(Cl)=C(Cl)C=C2)CC1)C1=CC(F)=CC=C1,9.45,0,,,,,,2059086,972511,252426,,,
Esi-,DTXSID4047672,Flubendiamide,DTXCID2027672,C23H22F7IN2O4S,682.02332,CC1=CC(=CC=C1NC(=O)C1=CC=CC(I)=C1C(=O)NC(C)(C)CS(C)(=O)=O)C(F)(C(F)(F)F)C(F)(F)F,10.36,0,,,,,,25669468,9714981,1960314,,,
Esi-,DTXSID5021201,Propyl gallate,DTXCID901201,C10H12O5,212.0684735,CCCOC(=O)C1=CC(O)=C(O)C(O)=C1,2.5,0,,,,,,5168601,1461554,235399,,,
Esi-,DTXSID5021209,6-Propyl-2-thiouracil,DTXCID80209094,C7H10N2OS,170.0513841,CCCC1=NC(=S)NC(=O)C1,0.95,0,,,,,,932646,326079,,,,
Esi-,DTXSID5021388,"2,4,5-Trichlorophenoxyacetic acid",DTXCID301388,C8H5Cl3O3,253.9304271,OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=C1,4.1,0,,,,,,1111695,349366,65817,,,
Esi-,DTXSID5022489,E-Cinnamic acid,DTXCID9065316,C9H8O2,148.0524295,OC(=O)C=CC1=CC=CC=C1,0.93,0,,,,,,404097,89293,,,,
Esi-,DTXSID5023243,Mefenamic acid,DTXCID103243,C15H15NO2,241.1102787,CC1=C(C)C(NC2=C(C=CC=C2)C(O)=O)=CC=C1,7.8,0,,,,,,2339617,874289,171186,,,
Esi-,DTXSID5025231,Emodin,DTXCID205231,C15H10O5,270.0528234,CC1=CC(O)=C2C(=O)C3=C(O)C=C(O)C=C3C(=O)C2=C1,9.11,0,,,,,,35299348,14693321,2987450,,,
Esi-,DTXSID5027770,2-Acrylamido-2-methyl-1-propanesulfonic acid,DTXCID207770,C7H13NO4S,207.0565291,CC(C)(CS(O)(=O)=O)NC(=O)C=C,0.39,0,,,,,,1286045,253312,52659,,,
Esi-,DTXSID5032442,Imidacloprid,DTXCID3012442,C9H10ClN5O2,255.0523023,[O-][N+](=O)\N=C1/NCCN1CC1=CN=C(Cl)C=C1,1.2,0,,,,,,865183,391419,94537,,,
Esi-,DTXSID5032600,Cyclanilide,DTXCID3012600,C11H9Cl2NO3,272.9959486,OC(=O)C1(CC1)C(=O)NC1=CC=C(Cl)C=C1Cl,4.04,0,,,,,,4341156,1060354,197867,,,
Esi-,DTXSID5033836,4-Nonylphenol,DTXCID001857,C15H24O,220.1827154,CCCCCCCCCC1=CC=C(O)C=C1,13.21,0,,,,,,125048,,,,,
Esi-,DTXSID5034303,Fluroxypyr-meptyl,DTXCID3014303,C15H21Cl2FN2O3,366.0913261,CCCCCCC(C)OC(=O)COC1=NC(F)=C(Cl)C(N)=C1Cl,7.74,0,,,,,,1215429,294294,58295,,,
Esi-,DTXSID5034357,Lufenuron,DTXCID3014357,C17H8Cl2F8N2O3,509.9784228,FC(C(F)(F)F)C(F)(F)OC1=CC(Cl)=C(NC(=O)NC(=O)C2=C(F)C=CC=C2F)C=C1Cl,13.47,0,,,,,,6737367,1500835,238758,,,
Esi-,DTXSID5034773,Novaluron,DTXCID3014773,C17H9ClF8N2O4,492.0123098,FC(OC(F)(F)F)C(F)(F)OC1=C(Cl)C=C(NC(=O)NC(=O)C2=C(F)C=CC=C2F)C=C1,11.7,0,,,,,,22356608,7842230,1632773,,,
Esi-,DTXSID5037731,"4,4'-(9H-Fluorene-9,9-diyl)diphenol",DTXCID3017731,C25H18O2,350.1306798,OC1=CC=C(C=C1)C1(C2=C(C=CC=C2)C2=C1C=CC=C2)C1=CC=C(O)C=C1,8.87,0,,,,,,73538,,,,,
Esi-,DTXSID5041306,"2,2',4,4'-Tetrahydroxybenzophenone",DTXCID3021306,C13H10O5,246.0528234,OC1=CC(O)=C(C=C1)C(=O)C1=CC=C(O)C=C1O,3.09,0,,,,,,12686683,4724907,954879,,,
Esi-,DTXSID5041641,"2,5-Dimethylbenzenesulfonic acid",DTXCID3021641,C8H10O3S,186.0350654,CC1=CC=C(C)C(=C1)S(O)(=O)=O,0.9,0,,,,,,1205498,261961,46610,,,
Esi-,DTXSID5041699,Buturon,DTXCID3021699,C12H13ClN2O,236.0716407,CC(C#C)N(C)C(=O)NC1=CC=C(Cl)C=C1,6.21,0,,,,,,828559,197799,39358,,,
Esi-,DTXSID5042243,Oleyl sarcosine,DTXCID30809669,C21H39NO3,353.2929941,CCCCCCCCC=CCCCCCCCC(=O)N(C)CC(O)=O,12.93,0,,,,,,2499142,667654,112046,,,
Esi-,DTXSID5044526,N-(4-Ethoxyphenyl)-3-oxobutanamide,DTXCID3024526,C12H15NO3,221.1051933,CCOC1=CC=C(NC(=O)CC(C)=O)C=C1,2.51,0,,,,,,2411190,794494,156743,,,
Esi-,DTXSID5044607,sec-Butylparaben,DTXCID3024607,C11H14O3,194.0942943,CCC(C)OC(=O)C1=CC=C(O)C=C1,6.89,1,1,First,,,,7281123,2114306,406461,,,
Esi-,DTXSID5044607,sec-Butylparaben,DTXCID3024607,C11H14O3,194.0942943,CCC(C)OC(=O)C1=CC=C(O)C=C1,7.06,1,2,Second,,,,460320,226417,,,,
Esi-,DTXSID5044738,"Ethyl 5-oxo-1-phenyl-4,5-dihydro-1H-pyrazole-3-carboxylate",DTXCID3024738,C12H12N2O3,232.0847923,CCOC(=O)C1=NN(C(=O)C1)C1=CC=CC=C1,1.15,0,,,,,,1992190,460858,84583,,,
Esi-,DTXSID5047037,Tembotrione,DTXCID3027037,C17H16ClF3O6S,440.0308216,CS(=O)(=O)C1=C(COCC(F)(F)F)C(Cl)=C(C=C1)C(=O)C1C(=O)CCCC1=O,2.28,0,,,,,,1659199,655556,148395,,,
Esi-,DTXSID5047295,UK-373911,DTXCID50210213,C17H18Cl2N2O2S,384.0466044,CNC1CCC(C2=CC(Cl)=C(Cl)C=C2)C2=C1C=C(C=C2)S(N)(=O)=O,5.02,0,,,,,,146138,,,,,
Esi-,DTXSID5047322,SB243213A,DTXCID8027323,C22H19F3N4O2,428.1460104,CC1=CC2=C(C=C1C(F)(F)F)N(CC2)C(=O)NC1=CC=C(OC2=CC=CN=C2C)N=C1,9.88,0,,,,,,1318112,341716,55064,,,
Esi-,DTXSID5047328,MK-274,DTXCID8027329,C18H12F6N4O2,430.0864446,NC(=O)C1=NC(=NN1)C1=CC=CC(=C1)C1=CC(F)=CC=C1OCC(F)(F)C(F)(F)F,9,0,,,,,,1369438,450426,86482,1387521,524656,91144
Esi-,DTXSID5047372,AVE3295,DTXCID50197212,C25H22FN3O3S,463.1365909,CCC(NC(=O)C1=C(NS(=O)(=O)C2=CC=CC3=CC=CN=C23)C=CC(F)=C1)C1=CC=CC=C1,8.63,0,,,,,,14479271,6031142,1296040,,,
Esi-,DTXSID5047374,SSR161421,DTXCID3027374,C25H20N4O2,408.1586259,COC1=CC=C(C=C1)C(=O)NC1=C(C#N)C(NCC2=CC=CC=C2)=C2C=CC=CC2=N1,7.47,0,,,,,,1055663,260365,48438,,,
Esi-,DTXSID5047376,AVE2865,DTXCID3027376,C20H17ClF3N3O4,455.0859682,OC(=O)C1CCN(CC1)C1=C(NC(=O)NC(=O)C2=CC(F)=C(F)C=C2Cl)C=C(F)C=C1,7.61,0,,,,,,291308,81179,,,,
Esi-,DTXSID5048506,PharmaGSID_48506,DTXCID30210276,C19H22ClN3O3S,407.1070405,CS(=O)(=O)C1=CC=C(C=C1Cl)C(CC1CCCC1)C(=O)NC1=NC=CN=C1,8.5,0,,,,,,5280681,1809883,357047,,,
Esi-,DTXSID6020690,Hexachlorophene,DTXCID40690,C13H6Cl6O2,403.8498956,OC1=C(CC2=C(Cl)C(Cl)=CC(Cl)=C2O)C(Cl)=C(Cl)C=C1Cl,11.75,0,,,,,,18359236,5868760,947667,,,
Esi-,DTXSID6020779,Lithocholic acid,DTXCID70209063,C24H40O3,376.2977451,CC(CCC(O)=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,12.48,0,,,,,,126683,,,,,
Esi-,DTXSID6021292,Sulfisoxazole,DTXCID001292,C11H13N3O3S,267.0677625,CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C,0.39,0,,,,,,166610,75102,,,,
Esi-,DTXSID6022391,Apigenin,DTXCID902391,C15H10O5,270.0528234,OC1=CC=C(C=C1)C1=CC(=O)C2=C(O1)C=C(O)C=C2O,5.51,0,,,,,,7823342,1990324,353424,,,
Esi-,DTXSID6023159,Iopanoic acid,DTXCID603159,C11H12I3NO2,570.80021,CCC(CC1=C(I)C=C(I)C(N)=C1I)C(O)=O,8.96,0,,,,,,129335,,,,,
Esi-,DTXSID6023868,Hydramethylnon,DTXCID60810263,C25H24F6N4,494.1905158,CC1(C)CNC(NC1)=NN=C(C=CC1=CC=C(C=C1)C(F)(F)F)C=CC1=CC=C(C=C1)C(F)(F)F,11.68,0,,,,,,3366099,1079400,244349,,,
Esi-,DTXSID6040290,Chlorbromuron,DTXCID4020290,C9H10BrClN2O2,291.961418,CON(C)C(=O)NC1=CC(Cl)=C(Br)C=C1,7.09,0,,,,,,224587,75291,,,,
Esi-,DTXSID6040747,17alpha-Hydroxyprogesterone,DTXCID80209675,C21H30O3,330.2194948,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,8.25,0,,,,,,238694,124896,,,,
Esi-,DTXSID6041927,Ethirimol,DTXCID4021927,C11H19N3O,209.1528122,CCCCC1=C(O)N=C(NCC)N=C1C,5.86,0,,,,,,2722500,849102,146980,,,
Esi-,DTXSID6042521,Zoalene,DTXCID4022521,C8H7N3O5,225.0385703,CC1=C(C=C(C=C1C(N)=O)[N+]([O-])=O)[N+]([O-])=O,1.37,0,,,,,,3942250,1408703,279792,,,
Esi-,DTXSID6044303,Atorvastatin calcium,DTXCID80197003,C33H35FN2O5,558.2530004,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CCC(O)CC(O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1,8.38,0,,,,,,827445,303597,91938,643689,311743,86061
Esi-,DTXSID6044858,5-Phenyl-1H-tetrazole,DTXCID4024858,C7H6N4,146.0592462,N1N=NN=C1C1=CC=CC=C1,0.72,0,,,,,,5646744,1415767,250566,,,
Esi-,DTXSID6047282,CP-671305,DTXCID40210207,C23H19FN2O7,454.1176291,CC(OC1=CC(F)=C(CNC(=O)C2=C(OC3=CC=C4OCOC4=C3)N=CC=C2)C=C1)C(O)=O,4.02,0,,,,,,730775,212808,38620,,,
Esi-,DTXSID6047286,Candoxatril,DTXCID30210211,C29H41NO7,515.2883027,COCCOCC(CC1(CCCC1)C(=O)NC1CCC(CC1)C(O)=O)C(=O)OC1=CC2=C(CCC2)C=C1,9.1,0,,,,,,427993,110956,,,,
Esi-,DTXSID6047311,GSK163929B,DTXCID4027311,C36H40ClF2N5O3S,695.2508454,CNS(=O)(=O)C1=C(F)C=C(Cl)C(=C1)C(=O)N1CCC(CCN2C3CCC2CC(C3)N2C(C)=NC3=C2C=CC=C3)(CC1)C1=CC(F)=CC=C1,10.57,0,,,,,,414713,119264,,,,
Esi-,DTXSID6047319,Carabersat,DTXCID20210220,C20H20FNO4,357.1376363,CC(=O)C1=CC=C2OC(C)(C)C(O)C(NC(=O)C3=CC=C(F)C=C3)C2=C1,5.43,0,,,,,,16443272,5341869,1039229,,,
Esi-,DTXSID6047525,Pravastatin sodium,DTXCID60197223,C23H36O7,424.2461035,CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(O)=O)C12,4.59,0,,,,,,124426,43775,,,,
Esi-,DTXSID6048200,"2,4,6-Trimethylbenzoic acid",DTXCID4028175,C10H12O2,164.0837296,CC1=CC(C)=C(C(O)=O)C(C)=C1,1.04,0,,,,,,947629,333913,,,,
Esi-,DTXSID7020007,Acetohexamide,DTXCID707,C15H20N2O4S,324.1143783,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,2.88,0,,,,,,537071,132262,,58732,3486,
Esi-,DTXSID7020265,Chloramphenicol,DTXCID00208665,C11H12Cl2N2O5,322.0123269,OCC(NC(=O)C(Cl)Cl)C(O)C1=CC=C(C=C1)[N+]([O-])=O,2.2,0,,,,,,1266225,352276,74123,,,
Esi-,DTXSID7020344,Tomelukast,DTXCID30344,C16H22N4O3,318.1691906,CCCC1=C(OCCCCC2=NN=NN2)C=CC(C(C)=O)=C1O,7.07,0,,,,,,12718989,4314785,788531,,,
Esi-,DTXSID7021106,Pentachlorophenol,DTXCID701106,C6HCl5O,263.8470032,OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,7.87,0,,,,,,5389353,1801119,290690,,,
Esi-,DTXSID7021788,3-Trifluoromethyl-4-nitrophenol,DTXCID101788,C7H4F3NO3,207.0143275,OC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,4.95,0,,,,,,27366542,7687412,1426167,,,
Esi-,DTXSID7023063,Flufenamic acid,DTXCID303063,C14H10F3NO2,281.0663631,OC(=O)C1=C(NC2=CC(=CC=C2)C(F)(F)F)C=CC=C1,7.75,0,,,,,,4306356,1579788,314255,,,
Esi-,DTXSID7024112,Fomesafen,DTXCID704112,C15H10ClF3N2O6S,437.9900194,CS(=O)(=O)NC(=O)C1=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=CC=C1[N+]([O-])=O,6.15,0,,,,,,1228428,284568,43880,,,
Esi-,DTXSID7025429,6-Hydroxy-2-naphthyl disulfide,DTXCID505429,C20H14O2S2,350.043522,OC1=CC2=CC=C(SSC3=CC4=CC=C(O)C=C4C=C3)C=C2C=C1,11.42,0,,,,,,7159419,2848082,576837,,,
Esi-,DTXSID7026368,Salicylic acid,DTXCID206368,C7H6O3,138.0316941,OC(=O)C1=C(O)C=CC=C1,0.39,1,1,First,,,,708533,385530,,,,
Esi-,DTXSID7026368,Salicylic acid,DTXCID206368,C7H6O3,138.0316941,OC(=O)C1=C(O)C=CC=C1,0.59,1,2,Second,,,,1408090,451079,,,,
Esi-,DTXSID7032551,Fluazinam,DTXCID5012551,C13H4Cl2F6N4O4,463.951379,[O-][N+](=O)C1=CC(=C(Cl)C(=C1NC1=C(Cl)C=C(C=N1)C(F)(F)F)[N+]([O-])=O)C(F)(F)F,12.1,0,,,,,,12795340,3089525,600159,,,
Esi-,DTXSID7032630,N-Benzyladenine,DTXCID5012630,C12H11N5,225.1014454,C(NC1=C2N=CN=C2N=CN1)C1=CC=CC=C1,3.34,0,,,,,,4849044,1194231,214183,,,
Esi-,DTXSID7034674,Ipconazole,DTXCID5014674,C18H24ClN3O,333.1607901,CC(C)C1CCC(CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1,11.04,0,,,,,,2449304,1385149,260916,,,
Esi-,DTXSID7035010,Sodium warfarin,DTXCID20196838,C19H16O4,308.104859,CC(=O)CC(C1C(=O)Oc2ccccc2C1=O)c1ccccc1,4.77,0,,,,,,19949760,8106479,1435775,,,
Esi-,DTXSID7037555,tau-Fluvalinate,DTXCID904110,C26H22ClF3N2O3,502.1271048,CC(C)C(NC1=C(Cl)C=C(C=C1)C(F)(F)F)C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1,14.35,0,,,,,,611487,215831,28034,,,
Esi-,DTXSID7037717,Bisphenol AF,DTXCID5017717,C15H10F6O2,336.0584985,OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)(C(F)(F)F)C(F)(F)F,8.9,0,,,,,,6341083,1885468,331994,,,
Esi-,DTXSID7040287,Chloroxuron,DTXCID5020287,C15H15ClN2O2,290.0822054,CN(C)C(=O)NC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1,8.1,0,,,,,,861144,320850,136896,889280,391591,
Esi-,DTXSID7041623,Benodanil,DTXCID5021623,C13H10INO,322.98071,IC1=C(C=CC=C1)C(=O)NC1=CC=CC=C1,5.76,0,,,,,,681053,197870,32988,,,
Esi-,DTXSID7041629,"2,2'-Dibenzoylaminodiphenyl disulfide",DTXCID5021629,C26H20N2O2S2,456.0966202,O=C(NC1=CC=CC=C1SSC1=C(NC(=O)C2=CC=CC=C2)C=CC=C1)C1=CC=CC=C1,10.66,0,,,,,,115416,40160,,,,
Esi-,DTXSID7041756,Carbetamide,DTXCID5021756,C12H16N2O3,236.1160924,CCNC(=O)C(C)OC(=O)NC1=CC=CC=C1,3.3,0,,,,,,3592007,1040237,176000,,,
Esi-,DTXSID7041883,Dinoterb,DTXCID5021883,C10H12N2O5,240.0746215,CC(C)(C)C1=CC(=CC(=C1O)[N+]([O-])=O)[N+]([O-])=O,5.76,0,,,,,,24858780,5440421,902422,,,
Esi-,DTXSID7042019,Haloxyfop,DTXCID5022019,C15H11ClF3NO4,361.03287,CC(OC1=CC=C(OC2=NC=C(C=C2Cl)C(F)(F)F)C=C1)C(O)=O,6.66,0,,,,,,1283759,368842,62538,,,
Esi-,DTXSID7044215,Pantoprazole sodium,DTXCID803416,C16H15F2N3O4S,383.0751335,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=CC(OC(F)F)=C3)=NC=C1,4.95,0,,,,,,362688,94478,,,,
Esi-,DTXSID7044340,Florasulam,DTXCID5024340,C12H8F3N5O3S,359.0299948,COC1=NC=C(F)C2=NC(=NN12)S(=O)(=O)NC1=C(F)C=CC=C1F,1.17,0,,,,,,562451,236582,,,,
Esi-,DTXSID7044689,N-(4-Methoxyphenyl)-3-oxobutanamide,DTXCID5024689,C11H13NO3,207.0895433,COC1=CC=C(NC(=O)CC(C)=O)C=C1,1.45,0,,,,,,1853574,577708,72804,,,
Esi-,DTXSID7047356,Ilepatril,DTXCID40210227,C22H28N2O5S,432.1718932,CC(C)C(SC(C)=O)C(=O)NC1CC2=C(C=CC=C2)C2CCCC(N2C1=O)C(O)=O,5.04,0,,,,,,240962,80449,,,,
Esi-,DTXSID7047358,Nelivaptan,DTXCID00210228,C30H32ClN3O8S,629.1598639,COC1=CC=C(C(OC)=C1)S(=O)(=O)N1C(=O)C(N2CC(O)CC2C(=O)N(C)C)(C2=CC(Cl)=CC=C12)C1=CC=CC=C1OC,9.71,0,,,,,,587323,272677,68189,,,
Esi-,DTXSID7047568,Metamitron,DTXCID5027568,C10H10N4O,202.085461,CC1=NN=C(C(=O)N1N)C1=CC=CC=C1,1.43,0,,,,,,629290,214268,,,,
Esi-,DTXSID7048168,Fabesetron hydrochloride,DTXCID80197245,C18H19N3O,293.1528122,CC1=C(CC2CCC3=C(C)C4=CC=CC=C4N3C2=O)NC=N1,6.79,0,,,,,,622589,260032,,,,
Esi-,DTXSID8020541,"5,5-Diphenylhydantoin",DTXCID60541,C15H12N2O2,252.0898776,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,4.6,0,,,,,,374058,137062,,,,
Esi-,DTXSID8020963,4-Nitroanthranilic acid,DTXCID00963,C7H6N2O4,182.0327567,NC1=C(C=CC(=C1)[N+]([O-])=O)C(O)=O,0.54,0,,,,,,1902419,837103,143836,,,
Esi-,DTXSID8020965,6-Nitrobenzimidazole,DTXCID60965,C7H5N3O2,163.0381764,[O-][N+](=O)C1=CC2=C(NC=N2)C=C1,1.52,0,,,,,,19260040,5024631,880185,,,
Esi-,DTXSID8022161,Ioxynil,DTXCID602161,C7H3I2NO,370.8304,OC1=C(I)C=C(C=C1I)C#N,2.48,0,,,,,,11005870,2654648,499802,,,
Esi-,DTXSID8022741,Carbutamide,DTXCID202741,C11H17N3O3S,271.0990626,CCCCNC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,0.89,0,,,,,,360116,120785,,,,
Esi-,DTXSID8023214,Levothyroxine,DTXCID103662,C15H11I4NO4,776.68669,NC(CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O,7.57,0,,,,,,93125,,,,,
Esi-,DTXSID8023216,"3,5,3'-Triiodothyronine",DTXCID80197220,C15H12I3NO4,650.79004,NC(CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O,6.33,0,,,,,,102528,,,,,
Esi-,DTXSID8023688,Topiramate,DTXCID10208919,C12H21NO8S,339.0987878,CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1,2.78,0,,,,,,872688,289067,66037,,,
Esi-,DTXSID8023719,Troglitazone,DTXCID603719,C24H27NO5S,441.1609941,CC1=C(O)C(C)=C2CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)OC2=C1C,10.03,0,,,,,,561898,130482,,,,
